Id,ActivityHour,StepTotal
7007744171,4/12/2016 18:00,268
7086361926,4/12/2016 18:00,995
8053475328,4/12/2016 18:00,2046
8253242879,4/12/2016 18:00,126
8378563200,4/12/2016 18:00,90
8583815059,4/12/2016 18:00,175
8792009665,4/12/2016 18:00,781
8877689391,4/12/2016 18:00,3476
1503960366,4/12/2016 19:00,558
1624580081,4/12/2016 19:00,501
1644430081,4/12/2016 19:00,1669
1844505072,4/12/2016 19:00,228
1927972279,4/12/2016 19:00,28
2022484408,4/12/2016 19:00,196
2026352035,4/12/2016 19:00,144
2320127002,4/12/2016 19:00,459
2347167796,4/12/2016 19:00,355
2873212765,4/12/2016 19:00,255
3372868164,4/12/2016 19:00,285
3977333714,4/12/2016 19:00,201
4020332650,4/12/2016 19:00,594
4057192912,4/12/2016 19:00,501
4319703577,4/12/2016 19:00,0
4388161847,4/12/2016 19:00,0
4445114986,4/12/2016 19:00,321
4558609924,4/12/2016 19:00,161
4702921684,4/12/2016 19:00,46
5553957443,4/12/2016 19:00,776
5577150313,4/12/2016 19:00,875
6117666160,4/12/2016 19:00,0
6290855005,4/12/2016 19:00,0
6775888955,4/12/2016 19:00,0
6962181067,4/12/2016 19:00,1717
7007744171,4/12/2016 19:00,291
7086361926,4/12/2016 19:00,297
8053475328,4/12/2016 19:00,6773
8253242879,4/12/2016 19:00,105
8378563200,4/12/2016 19:00,659
8583815059,4/12/2016 19:00,987
8792009665,4/12/2016 19:00,700
8877689391,4/12/2016 19:00,815
1503960366,4/12/2016 20:00,1733
1624580081,4/12/2016 20:00,99
1644430081,4/12/2016 20:00,1467
1844505072,4/12/2016 20:00,489
1927972279,4/12/2016 20:00,32
2022484408,4/12/2016 20:00,0
2026352035,4/12/2016 20:00,237
2320127002,4/12/2016 20:00,348
2347167796,4/12/2016 20:00,1391
2873212765,4/12/2016 20:00,259
3372868164,4/12/2016 20:00,316
3977333714,4/12/2016 20:00,35
4020332650,4/12/2016 20:00,675
4057192912,4/12/2016 20:00,125
4319703577,4/12/2016 20:00,0
4388161847,4/12/2016 20:00,0
4445114986,4/12/2016 20:00,401
4558609924,4/12/2016 20:00,148
4702921684,4/12/2016 20:00,480
5553957443,4/12/2016 20:00,330
5577150313,4/12/2016 20:00,216
6117666160,4/12/2016 20:00,0
6290855005,4/12/2016 20:00,0
6775888955,4/12/2016 20:00,0
6962181067,4/12/2016 20:00,0
7007744171,4/12/2016 20:00,0
7086361926,4/12/2016 20:00,407
8053475328,4/12/2016 20:00,73
8253242879,4/12/2016 20:00,142
8378563200,4/12/2016 20:00,23
8583815059,4/12/2016 20:00,30
8792009665,4/12/2016 20:00,119
8877689391,4/12/2016 20:00,600
1503960366,4/12/2016 21:00,684
1624580081,4/12/2016 21:00,0
1644430081,4/12/2016 21:00,2076
1844505072,4/12/2016 21:00,166
1927972279,4/12/2016 21:00,105
2022484408,4/12/2016 21:00,0
2026352035,4/12/2016 21:00,0
2320127002,4/12/2016 21:00,197
2347167796,4/12/2016 21:00,3229
2873212765,4/12/2016 21:00,19
3372868164,4/12/2016 21:00,310
3977333714,4/12/2016 21:00,291
4020332650,4/12/2016 21:00,36
4057192912,4/12/2016 21:00,11
4319703577,4/12/2016 21:00,0
4388161847,4/12/2016 21:00,0
4445114986,4/12/2016 21:00,134
4558609924,4/12/2016 21:00,146
4702921684,4/12/2016 21:00,659
5553957443,4/12/2016 21:00,740
5577150313,4/12/2016 21:00,105
6117666160,4/12/2016 21:00,0
6290855005,4/12/2016 21:00,0
6775888955,4/12/2016 21:00,0
6962181067,4/12/2016 21:00,0
7007744171,4/12/2016 21:00,0
7086361926,4/12/2016 21:00,0
8053475328,4/12/2016 21:00,1218
8253242879,4/12/2016 21:00,106
8378563200,4/12/2016 21:00,8
8583815059,4/12/2016 21:00,63
8792009665,4/12/2016 21:00,16
8877689391,4/12/2016 21:00,745
1503960366,4/12/2016 22:00,89
1624580081,4/12/2016 22:00,0
1644430081,4/12/2016 22:00,1527
1844505072,4/12/2016 22:00,436
1927972279,4/12/2016 22:00,50
2022484408,4/12/2016 22:00,0
2026352035,4/12/2016 22:00,0
2320127002,4/12/2016 22:00,296
2347167796,4/12/2016 22:00,25
2873212765,4/12/2016 22:00,0
3372868164,4/12/2016 22:00,129
3977333714,4/12/2016 22:00,115
4020332650,4/12/2016 22:00,1077
4057192912,4/12/2016 22:00,23
4319703577,4/12/2016 22:00,0
4388161847,4/12/2016 22:00,0
4445114986,4/12/2016 22:00,0
4558609924,4/12/2016 22:00,145
4702921684,4/12/2016 22:00,157
5553957443,4/12/2016 22:00,534
5577150313,4/12/2016 22:00,36
6117666160,4/12/2016 22:00,0
6290855005,4/12/2016 22:00,0
6775888955,4/12/2016 22:00,0
6962181067,4/12/2016 22:00,4
7007744171,4/12/2016 22:00,0
7086361926,4/12/2016 22:00,181
8053475328,4/12/2016 22:00,129
8253242879,4/12/2016 22:00,167
8378563200,4/12/2016 22:00,0
8583815059,4/12/2016 22:00,63
8792009665,4/12/2016 22:00,32
8877689391,4/12/2016 22:00,301
1503960366,4/12/2016 23:00,338
1624580081,4/12/2016 23:00,174
1644430081,4/12/2016 23:00,10
1844505072,4/12/2016 23:00,37
1927972279,4/12/2016 23:00,45
2022484408,4/12/2016 23:00,0
2026352035,4/12/2016 23:00,6
